Sample1(volume) Sample2(volume) Sample3(volume) Sample4(volume) Sample5(volume) Sample6(volume) Sample7(volume) Sample8(volume) Sample9(volume) Sample10(volume) Sample11(volume) Sample12(volume) Sample13(volume) Sample14(volume) Sample15(volume) Sample16(volume) Sample17(volume) Sample18(volume) Sample19(volume) Sample20(volume) Sample21(volume) Sample22(volume) Sample23(volume) Sample24(volume) Sample25(volume) Sample26(volume) Sample27(volume) Sample28(volume) Sample29(volume) Sample30(volume) Sample31(volume) Sample32(volume) Sample33(volume) Sample34(volume) Sample35(volume) Sample36(volume) Sample37(volume) Sample38(volume) Sample39(volume) Sample40(volume) Sample41(volume) Sample42(volume) Sample43(volume) Sample44(volume) Sample45(volume) Sample46(volume) Sample47(volume) Sample48(volume) Sample49(volume) Sample50(volume)
303.1 302.7 302.8 302.1 303.3 304.7 302.9 302.5 304.7 302.1 303.3 302.1 302.1 302.3 303 302.8 302.4 302.5 302.1 302.8 303.4 303.6 303.7 303 304 302.6 302.1 302.2 302.6 302.3 302.9 302.7 302.2 302.8 302.6 302.4 302.1 302.1 303.2 302.3 303.2 304.9 302.8 304.6 303.2 302.9 303 302.4 302.6 303.3
303 302.5 303.9 302.4 303.8 302.6 303 302.1 302.9 302.4 304.6 302.4 302.9 303.8 304 302.2 302.5 303.1 302.4 302.8 302.8 302.3 302.1 302.4 302.3 302.8 303.3 302.6 302.3 302.5 303.7 302.1 302.4 302.4 302.1 303.1 302.5 302.8 302.6 303.2 302.4 302.4 302.3 304.5 302.8 304.5 302.5 303.1 302.4 302.1
303.2 303.8 302.3 302.2 303.1 302.1 302.5 302.8 302.4 302.1 302.9 303.3 302.8 302.4 302.7 302.5 303.6 302.9 303.2 304.1 303.2 302.3 303.1 302.4 303.1 304.1 302.2 302.2 303.2 302.9 302.3 303.1 302.1 303.4 302.3 302.4 302.1 304.1 302.7 303.2 302.9 302.9 303.7 302.2 302.4 302.3 304.7 302.7 302.5 303.4
302.3 302.4 302.7 302.4 302.6 303.5 302.8 302.6 302.2 302.4 302.1 303.1 302.2 303.9 303.4 303.3 303.2 304.6 302.7 303.2 302.5 304.6 302.8 302.3 302.8 302.6 303.8 302.3 303.2 302.7 302.3 303.7 303.9 303.1 303.5 302.5 303.5 302.3 302.8 303.1 302.4 303.3 302.6 302.3 303 302.6 302.8 303.5 302.5 302.5
303.4 303.1 302.6 302.6 302.1 303.2 303 302.7 303.9 302.2 302.2 302.8 303.1 302.2 303.2 302.1 302.5 304.2 302.1 302.6 302.3 302.5 303.3 302.5 302.6 302.4 302.4 302.1 302.6 303 302.2 304.3 302.3 302.8 302.2 303 302.2 302.7 303.3 302.6 302.4 302.3 302.6 302.4 303.5 303.1 302.2 304.1 303 302.5
302.5 302.4 303 303.1 302.5 302.6 302.1 302.9 304.2 302.6 302.1 302.5 303.1 302.6 302.1 302.3 302.5 304.3 303.3 303.2 303.1 302.9 303.8 302.2 303 302.4 304.3 302.8 302.5 303.2 304.3 302.5 302.8 303.1 303.2 302.9 303.3 303.2 303 303.7 302.6 303.7 304.3 302.9 302.6 303.2 303.1 302.8 302.4 303.6
303.5 302.5 303.4 302.1 303.7 302.5 302.1 303.8 303.2 304.7 302.1 304.3 304.1 303 304.7 302.2 302.5 302.3 302.7 302.6 303.1 302.9 302.1 303.7 302.2 302.7 303.2 303.6 302.9 302.6 302.6 302.5 302.5 303 303 302.1 303.3 302.4 303.2 302.8 302.9 302.3 303.6 303.9 302.4 303.9 302.5 302.8 304.3 303.8
303.1 302.4 302.8 302.7 302.4 302.4 302.1 302.6 302.9 302.6 302.1 303.9 302.8 303.2 303.2 302.4 303.3 302.4 302.4 303.4 302.6 303.7 303.3 303.1 303.2 303.1 302.7 302.2 303.1 302.5 303.1 302.6 302.3 302.3 304.3 302.3 303.1 302.1 303.7 302.1 302.4 302.2 302.1 302.4 302.5 302.5 304.3 303 303.6 302.7
303.1 303.1 303.2 303.1 302.5 302.8 303.5 302.2 302.8 302.1 302.3 303.4 302.6 302.1 303.5 302.2 302.9 302.9 302.7 303.1 302.8 303.6 303.5 302.6 302.5 304.6 303.2 302.4 302.6 302.9 302.6 302.6 302.7 302.6 302.9 302.9 302.3 302.4 302.9 302.3 303.3 304.3 302.6 302.6 302.3 302.1 302.3 303.5 302.3 304.3
303 302.6 302.9 304.5 302.3 302.1 303.6 303 302.6 303 303.6 303 303.7 302.8 302.3 302.6 302.4 302.6 302.5 302.1 302.5 302.6 302.1 303.1 302.1 302.5 303.1 302.9 302.3 302.1 302.3 302.2 303 302.5 302.3 302.1 303.7 303.2 302.5 302.1 302.4 302.6 302.2 302.8 303.9 302.5 302.6 303.9 302.1 302.2
302.2 302.4 302.5 302.2 302.8 303 303.2 303.7 303.1 302.4 302.1 303.2 304.3 302.7 302.4 302.7 303.8 302.4 304.3 303.2 303.5 302.3 302.6 303 303.1 302.1 302.1 303 303.3 302.4 303.8 302.1 303 302.4 303.1 302.6 303.5 302.4 304.1 304.7 302.6 302.3 303 304.1 302.8 302.2 302.2 302.3 303.4 302.7
302.4 302.2 302.4 302.7 302.1 302.2 303 303.9 302.9 302.7 303.2 304.1 303.8 302.7 302.6 302.2 302.4 302.1 302.8 302.9 304.1 303.8 302.7 303.3 303 303.7 303.3 302.4 302.8 303.5 303.8 302.6 302.8 303.5 303.1 302.8 303.1 302.3 302.7 302.1 303.9 303.2 303.1 303.9 303.7 303.2 302.4 303.3 303.2 303.6
303.2 303.6 302.8 302.9 302.9 303.5 302.6 304.1 302.5 304.7 302.6 302.4 302.6 302.1 302.4 302.9 302.6 302.5 303.5 302.6 303 303.3 302.5 303 302.1 302.1 302.1 302.8 302.1 302.9 304.1 302.8 302.8 303.7 302.7 302.2 302.5 303 302.4 303 302.2 302.8 302.4 303 302.1 303.2 303.2 302.3 302.2 302.5
